Query,Run 1,Run 2,Run 3,Average,Standard Deviation
1,57980.849981,58012.613058,58296.547174,58.096670,0.141928
2,12211.815834,12043.066978,12286.451817,12.180445,0.101807
3,40120.887995,39060.273886,39463.282108,39.548148,0.437133
4,34697.820902,34134.912968,34724.059820,34.518931,0.271753
5,42747.956038,35828.750134,31954.992771,36.843900,4.464296
6,43458.608866,43306.056976,43334.588051,43.366418,0.066221
7,42699.157953,43282.881975,48188.856125,44.723632,2.461844
8,2945.767164,55708.471060,2174.534798,20.276258,25.056337
9,152375.998974,151095.077038,150625.217915,151.365431,0.739877
10,80611.467600,89582.065821,80767.806053,83.653780,4.192417
11,4075.575829,3966.195822,3925.630093,3.989134,0.063327
12,79780.019045,79069.080114,79907.904148,79.585668,0.368995
13,55251.231909,54575.667143,56546.795130,55.457898,0.817871
14,49594.129801,49739.378929,49595.522881,49.643011,0.068145
15,92869.345903,92578.877926,92656.991959,92.701739,0.122732
16,12584.579229,12469.909906,12894.017935,12.649502,0.179124
17,82820.558071,86652.745008,85401.996136,84.958433,1.595614
18,91853.978157,89171.881914,81586.071253,87.537310,4.348283
19,24961.690903,27813.872099,21318.262100,24.697942,2.658372
20,87202.421904,85189.055920,87980.732918,86.790737,1.176288
21,87389.708996,91508.963108,98568.537235,92.489070,4.616059
22,9821.372986,9442.879915,9484.390736,9.582881,0.169489
